Omega,dV_over_V_A,dPen_A,dV_over_V_C,dPen_C
3.5481338923e+00,7.481494e-02,6.441596e-01,2.390243e-09,1.834576e-08
3.9810717055e+00,7.481492e-02,6.441593e-01,2.776167e-09,2.130749e-08
4.4668359215e+00,7.481490e-02,6.441590e-01,3.234158e-09,2.482221e-08
5.0118723363e+00,7.481489e-02,6.441588e-01,3.778723e-09,2.900123e-08
5.6234132519e+00,7.481487e-02,6.441585e-01,3.856626e-09,2.959857e-08
6.3095734448e+00,7.481485e-02,6.441582e-01,5.135298e-09,3.941125e-08
7.0794578438e+00,7.481483e-02,6.441578e-01,6.002187e-09,4.606329e-08
7.9432823472e+00,7.481481e-02,6.441575e-01,7.015781e-09,5.384085e-08
8.9125093813e+00,7.481479e-02,6.441572e-01,8.205889e-09,6.297258e-08
1.0000000000e+01,7.481476e-02,6.441568e-01,9.609871e-09,7.374507e-08
1.1220184543e+01,7.481474e-02,6.441565e-01,1.125972e-08,8.640360e-08
1.2589254118e+01,7.481472e-02,6.441561e-01,1.320897e-08,1.013589e-07
1.4125375446e+01,7.481469e-02,6.441557e-01,1.549623e-08,1.189069e-07
1.5848931925e+01,7.481467e-02,6.441553e-01,1.821575e-08,1.397706e-07
1.7782794100e+01,7.481465e-02,6.441550e-01,2.143015e-08,1.644300e-07
1.9952623150e+01,7.481462e-02,6.441546e-01,2.519544e-08,1.933145e-07
2.2387211386e+01,7.481460e-02,6.441542e-01,2.968390e-08,2.277454e-07
2.5118864315e+01,7.481458e-02,6.441539e-01,3.496152e-08,2.682285e-07
2.8183829313e+01,7.481456e-02,6.441535e-01,4.125944e-08,3.165363e-07
3.1622776602e+01,7.481454e-02,6.441532e-01,4.869571e-08,3.735737e-07
3.5481338923e+01,7.481452e-02,6.441529e-01,5.752029e-08,4.412573e-07
3.9810717055e+01,7.481450e-02,6.441526e-01,6.797669e-08,5.214539e-07
4.4668359215e+01,7.481448e-02,6.441524e-01,8.037331e-08,6.165280e-07
5.0118723363e+01,7.481447e-02,6.441522e-01,9.511289e-08,7.295676e-07
5.6234132519e+01,7.481446e-02,6.441520e-01,1.125933e-07,8.636231e-07
6.3095734448e+01,7.481445e-02,6.441518e-01,1.333745e-07,1.022987e-06
7.0794578438e+01,7.481444e-02,6.441517e-01,1.580538e-07,1.212240e-06
7.9432823472e+01,7.481443e-02,6.441516e-01,1.874189e-07,1.437421e-06
8.9125093813e+01,7.481442e-02,6.441515e-01,2.222834e-07,1.704769e-06
1.0000000000e+02,7.481442e-02,6.441514e-01,2.637681e-07,2.022876e-06
1.1220184543e+02,7.481441e-02,6.441513e-01,3.130861e-07,2.401045e-06
1.2589254118e+02,2.585176e-01,8.299068e-01,3.717292e-07,2.850714e-06
1.4125375446e+02,4.057450e-01,8.853536e-01,4.414496e-07,3.385318e-06
1.5848931925e+02,7.481441e-02,6.441512e-01,5.243641e-07,4.021088e-06
1.7782794100e+02,2.585176e-01,8.299067e-01,6.229504e-07,4.777024e-06
1.9952623150e+02,4.057450e-01,8.853536e-01,7.401215e-07,5.675460e-06
2.2387211386e+02,7.481440e-02,6.441511e-01,8.793164e-07,6.742764e-06
2.5118864315e+02,2.585176e-01,8.299067e-01,1.044583e-06,8.009976e-06
2.8183829313e+02,4.057450e-01,8.853536e-01,1.240679e-06,9.513566e-06
3.1622776602e+02,7.481440e-02,6.441511e-01,1.473182e-06,1.129631e-05
3.5481338923e+02,2.585176e-01,8.299067e-01,1.748527e-06,1.340754e-05
3.9810717055e+02,4.057450e-01,8.853536e-01,2.074300e-06,1.590541e-05
4.4668359215e+02,7.481440e-02,6.441510e-01,2.459488e-06,1.885883e-05
5.0118723363e+02,2.585176e-01,8.299067e-01,2.914759e-06,2.234957e-05
5.6234132519e+02,4.057450e-01,8.853536e-01,3.452790e-06,2.647482e-05
6.3095734448e+02,7.481440e-02,6.441510e-01,4.089238e-06,3.135458e-05
7.0794578438e+02,2.585176e-01,8.299066e-01,4.842857e-06,3.713262e-05
7.9432823472e+02,4.057450e-01,8.853536e-01,5.736634e-06,4.398511e-05
8.9125093813e+02,7.481440e-02,6.441510e-01,6.798173e-06,5.212359e-05
1.0000000000e+03,2.585176e-01,8.299066e-01,8.060893e-06,6.180417e-05
