Omega,V_A,V_B,V_C,Delta_BC,Delta_AC,Delta_AB
7.9432823472e-03,3.107268875263e-01,4.663009276937e-01,4.663009274165e-01,5.944912239380e-10,3.336344209138e-01,3.336344213100e-01
8.9125093813e-03,3.107268872676e-01,4.663008997578e-01,4.663008996152e-01,3.056972843735e-10,3.336343817393e-01,3.336343819430e-01
1.0000000000e-02,3.107268869936e-01,4.663008705826e-01,4.663008705877e-01,1.096578305348e-11,3.336343408452e-01,3.336343408379e-01
1.1220184543e-02,3.107268867034e-01,4.663008394071e-01,4.663008391402e-01,5.723989380355e-10,3.336342965277e-01,3.336342969091e-01
1.2589254118e-02,3.107268863958e-01,4.663008063351e-01,4.663008063371e-01,4.159460154607e-12,3.336342503100e-01,3.336342503072e-01
1.4125375446e-02,3.107268860700e-01,4.663007708910e-01,4.663007713977e-01,1.086596666811e-09,3.336342010789e-01,3.336342003549e-01
1.5848931925e-02,3.107268857246e-01,4.663007344964e-01,4.663007344329e-01,1.361207949883e-10,3.336341489951e-01,3.336341490858e-01
1.7782794100e-02,3.107268853585e-01,4.663006952581e-01,4.663006952517e-01,1.376598308590e-11,3.336340937883e-01,3.336340937975e-01
1.9952623150e-02,3.107268849754e-01,4.663006537888e-01,4.663006532386e-01,1.180007329015e-09,3.336340345712e-01,3.336340353575e-01
2.2387211386e-02,3.107268845752e-01,4.663006096634e-01,4.663006096637e-01,5.966577872839e-13,3.336339731588e-01,3.336339731584e-01
2.5118864315e-02,3.107268841504e-01,4.663005631345e-01,4.663005629428e-01,4.111401131378e-10,3.336339073033e-01,3.336339075773e-01
2.8183829313e-02,3.107268836994e-01,4.663005138111e-01,4.663005138537e-01,9.132473111054e-11,3.336338381199e-01,3.336338380591e-01
3.1622776602e-02,3.107268832203e-01,4.663004615195e-01,4.663004614965e-01,4.918797409695e-11,3.336337643264e-01,3.336337643591e-01
3.5481338923e-02,3.107268827114e-01,4.663004061549e-01,4.663004061658e-01,2.337121001134e-11,3.336336863475e-01,3.336336863319e-01
3.9810717055e-02,3.107268821725e-01,4.663003474619e-01,4.663003474734e-01,2.471643178529e-11,3.336336036288e-01,3.336336036123e-01
4.4668359215e-02,3.107268815957e-01,4.663002854196e-01,4.663002854436e-01,5.137403308419e-11,3.336335162220e-01,3.336335161877e-01
5.0118723363e-02,3.107268810436e-01,4.663002193570e-01,4.663002193540e-01,6.539431964369e-12,3.336334229606e-01,3.336334229650e-01
5.6234132519e-02,3.107268803641e-01,4.663001496337e-01,4.663001499934e-01,7.714307087140e-10,3.336333252982e-01,3.336333247841e-01
6.3095734448e-02,3.107268796445e-01,4.663000754125e-01,4.663000754118e-01,1.298672637458e-12,3.336332202604e-01,3.336332202613e-01
7.0794578438e-02,3.107268788826e-01,4.662999977941e-01,4.662999977978e-01,7.928225749859e-12,3.336331109799e-01,3.336331109746e-01
7.9432823472e-02,3.107268780758e-01,4.662999149372e-01,4.662999149591e-01,4.704472711869e-11,3.336329943294e-01,3.336329942981e-01
8.9125093813e-02,3.107268772215e-01,4.662998272146e-01,4.662998272445e-01,6.411034396867e-11,3.336328708127e-01,3.336328707699e-01
1.0000000000e-01,3.107268763169e-01,4.662997343313e-01,4.662997343333e-01,4.389823864213e-12,3.336327399776e-01,3.336327399746e-01
1.1220184543e-01,3.107268753591e-01,4.662996358879e-01,4.662996359022e-01,3.069460730646e-11,3.336326013682e-01,3.336326013478e-01
1.2589254118e-01,3.107268743450e-01,4.662995320082e-01,4.662995320091e-01,2.027474513101e-12,3.336324550742e-01,3.336324550729e-01
1.4125375446e-01,3.107268732712e-01,4.662994212778e-01,4.662994207075e-01,1.222998251237e-09,3.336322983208e-01,3.336322991358e-01
1.5848931925e-01,3.107268721343e-01,4.662993038194e-01,4.662993038352e-01,3.397137529162e-11,3.336321337420e-01,3.336321337193e-01
1.7782794100e-01,3.107268709305e-01,4.662991805288e-01,4.662991801072e-01,9.042159823757e-10,3.336319595091e-01,3.336319601117e-01
1.9952623150e-01,3.107268696560e-01,4.662990493788e-01,4.662990490717e-01,6.586865686724e-10,3.336317749851e-01,3.336317754240e-01
2.2387211386e-01,3.107268683067e-01,4.662989101405e-01,4.662989101468e-01,1.350782440125e-11,3.336315793472e-01,3.336315793382e-01
2.5118864315e-01,3.107268668780e-01,4.662987630859e-01,4.662987630715e-01,3.096549513686e-11,3.336313722317e-01,3.336313722524e-01
2.8183829313e-01,3.107268653654e-01,4.662986074875e-01,4.662986076645e-01,3.796380040358e-10,3.336311533896e-01,3.336311531367e-01
3.1622776602e-01,3.107268637640e-01,4.662984429700e-01,4.662984427306e-01,5.135021253988e-10,3.336309211233e-01,3.336309214654e-01
3.5481338923e-01,3.107268620687e-01,4.662982680880e-01,4.662982685009e-01,8.855869814432e-10,3.336306757740e-01,3.336306751838e-01
3.9810717055e-01,3.107268602743e-01,4.662980831992e-01,4.662980831554e-01,9.388565912352e-11,3.336304147517e-01,3.336304148143e-01
4.4668359215e-01,3.107268583777e-01,4.662978873571e-01,4.662978873600e-01,6.180658389729e-12,3.336301390150e-01,3.336301390108e-01
5.0118723363e-01,3.107268562865e-01,4.662976800552e-01,4.662976800601e-01,1.038014883504e-11,3.336298472546e-01,3.336298472476e-01
5.6234132519e-01,3.107268542448e-01,4.662974605826e-01,4.662974605834e-01,1.810818614200e-12,3.336295379862e-01,3.336295379850e-01
6.3095734448e-01,3.107268519892e-01,4.662972282549e-01,4.662972281399e-01,2.467672838447e-10,3.336292106460e-01,3.336292108104e-01
7.0794578438e-01,3.107268496040e-01,4.662969823251e-01,4.662969823286e-01,7.544232129189e-12,3.336288644796e-01,3.336288644746e-01
7.9432823472e-01,3.107268470799e-01,4.662967220269e-01,4.662967217293e-01,6.382422519675e-10,3.336284974779e-01,3.336284979032e-01
8.9125093813e-01,3.107268444086e-01,4.662964464846e-01,4.662964465478e-01,1.354264556068e-10,3.336281099522e-01,3.336281098620e-01
1.0000000000e+00,3.107268415820e-01,4.662961550245e-01,4.662961550326e-01,1.734014569663e-11,3.336276994172e-01,3.336276994056e-01
1.1220184543e+00,3.107268385915e-01,4.662958465710e-01,4.662958465795e-01,1.832336686405e-11,3.336272650275e-01,3.336272650153e-01
1.2589254118e+00,3.107268354284e-01,4.662955202489e-01,4.662955202558e-01,1.490994084823e-11,3.336268054689e-01,3.336268054590e-01
1.4125375446e+00,3.107268320835e-01,4.662951750827e-01,4.662951749751e-01,2.306512795459e-10,3.336263192085e-01,3.336263193622e-01
1.5848931925e+00,3.107268285475e-01,4.662948100386e-01,4.662948098010e-01,5.095394691497e-10,3.336258049279e-01,3.336258052674e-01
1.7782794100e+00,3.107268248107e-01,4.662944237884e-01,4.662944240714e-01,6.068567571567e-10,3.336252617013e-01,3.336252612969e-01
1.9952623150e+00,3.107268208617e-01,4.662940160284e-01,4.662940160457e-01,3.697532972990e-11,3.336246870660e-01,3.336246870413e-01
2.2387211386e+00,3.107268166923e-01,4.662935848151e-01,4.662935848386e-01,5.036131875853e-11,3.336240797740e-01,3.336240797404e-01
2.5118864315e+00,3.107268122934e-01,4.662931292250e-01,4.662931292537e-01,6.135185690721e-11,3.336234381347e-01,3.336234380939e-01
2.8183829313e+00,3.107268076556e-01,4.662926480394e-01,4.662926480796e-01,8.618126036511e-11,3.336227604375e-01,3.336227603801e-01
3.1622776602e+00,3.107268027696e-01,4.662921400208e-01,4.662921400701e-01,1.056161799422e-10,3.336220449203e-01,3.336220448499e-01
3.5481338923e+00,3.107267976273e-01,4.662916038983e-01,4.662916039540e-01,1.194721961098e-10,3.336212897843e-01,3.336212897047e-01
3.9810717055e+00,3.107267922211e-01,4.662910383949e-01,4.662910384612e-01,1.420635399384e-10,3.336204932299e-01,3.336204931352e-01
4.4668359215e+00,3.107267865448e-01,4.662904422162e-01,4.662904423048e-01,1.899384577549e-10,3.336196534312e-01,3.336196533046e-01
5.0118723363e+00,3.107267805952e-01,4.662898141062e-01,4.662898142136e-01,2.303082141136e-10,3.336187685779e-01,3.336187684245e-01
5.6234132519e+00,3.107267743696e-01,4.662891528050e-01,4.662891526943e-01,2.373974190532e-10,3.336178365416e-01,3.336178366998e-01
6.3095734448e+00,3.107267678696e-01,4.662884571281e-01,4.662884573074e-01,3.846150141759e-10,3.336168566902e-01,3.336168564339e-01
7.0794578438e+00,3.107267611025e-01,4.662877259538e-01,4.662877261715e-01,4.669321427863e-10,3.336158263186e-01,3.336158260075e-01
7.9432823472e+00,3.107267540732e-01,4.662869582491e-01,4.662869585287e-01,5.995591062222e-10,3.336147443333e-01,3.336147439338e-01
8.9125093813e+00,3.107267467992e-01,4.662861531463e-01,4.662861535026e-01,7.640804125192e-10,3.336136094431e-01,3.336136089339e-01
1.0000000000e+01,3.107267393024e-01,4.662853099455e-01,4.662853103844e-01,9.411266349181e-10,3.336124205880e-01,3.336124199609e-01
1.1220184543e+01,3.107267316118e-01,4.662844281687e-01,4.662844287267e-01,1.196687407987e-09,3.336111770658e-01,3.336111762683e-01
1.2589254118e+01,3.107267237647e-01,4.662835076353e-01,4.662835083376e-01,1.506303898526e-09,3.336098785211e-01,3.336098775174e-01
1.4125375446e+01,3.107267158075e-01,4.662825485304e-01,4.662825494102e-01,1.886921311902e-09,3.336085251301e-01,3.336085238727e-01
1.5848931925e+01,3.107267077959e-01,4.662815514384e-01,4.662815525553e-01,2.395316891055e-09,3.336071176459e-01,3.336071160496e-01
1.7782794100e+01,3.107266997943e-01,4.662805174897e-01,4.662805188917e-01,3.006715159209e-09,3.336056575282e-01,3.336056555245e-01
1.9952623150e+01,3.107266918753e-01,4.662794483882e-01,4.662794501484e-01,3.775000718489e-09,3.336041470916e-01,3.336041445760e-01
2.2387211386e+01,3.107266841177e-01,4.662783465490e-01,4.662783487701e-01,4.763453780440e-09,3.336025896606e-01,3.336025864862e-01
2.5118864315e+01,3.107266766038e-01,4.662772151932e-01,4.662772178715e-01,5.744032907660e-09,3.336009895095e-01,3.336009856817e-01
2.8183829313e+01,3.107266694151e-01,4.662760584281e-01,4.662760619442e-01,7.540678921291e-09,3.335993528823e-01,3.335993478571e-01
3.1622776602e+01,3.107266626279e-01,4.662748813279e-01,4.662748857599e-01,9.505151723382e-09,3.335976864344e-01,3.335976801001e-01
3.5481338923e+01,3.107266563092e-01,4.662736900371e-01,4.662736956207e-01,1.197496214068e-08,3.335959990291e-01,3.335959910489e-01
3.9810717055e+01,3.107266505061e-01,4.662724917636e-01,4.662724987880e-01,1.506492853043e-08,3.335943009426e-01,3.335942909032e-01
4.4668359215e+01,3.107266452618e-01,4.662712948860e-01,4.662713036078e-01,1.870530461935e-08,3.335926040108e-01,3.335925915454e-01
5.0118723363e+01,3.107266405895e-01,4.662701082765e-01,4.662701194132e-01,2.388452942271e-08,3.335909215444e-01,3.335909056276e-01
5.6234132519e+01,3.107266364856e-01,4.662689423398e-01,4.662689563589e-01,3.006654224424e-08,3.335892680651e-01,3.335892480284e-01
6.3095734448e+01,3.107266329289e-01,4.662678075057e-01,4.662678251497e-01,3.784088799675e-08,3.335876589188e-01,3.335876337011e-01
7.0794578438e+01,3.107266298852e-01,4.662667144702e-01,4.662667366828e-01,4.763924741211e-08,3.335861097537e-01,3.335860780063e-01
7.9432823472e+01,3.107266273103e-01,4.662656735956e-01,4.662657015591e-01,5.997347596247e-08,3.335846358177e-01,3.335845958504e-01
8.9125093813e+01,3.107266251539e-01,4.662646942658e-01,4.662647295425e-01,7.565802123726e-08,3.335832511740e-01,3.335832007543e-01
1.0000000000e+02,3.107266233642e-01,4.662637847233e-01,4.662638290467e-01,9.506072167583e-08,3.335819679611e-01,3.335819046109e-01
1.1220184543e+02,3.107266218901e-01,4.662629507844e-01,4.662630065739e-01,1.196524327059e-07,3.335807955828e-01,3.335807158441e-01
1.2589254118e+02,3.107266206838e-01,4.662621961658e-01,4.662622664055e-01,1.506440354525e-07,3.335797402623e-01,3.335796398700e-01
1.4125375446e+02,3.107266197019e-01,4.662615219502e-01,4.662616103754e-01,1.896471401195e-07,3.335788047150e-01,3.335786783301e-01
1.5848931925e+02,3.107266188937e-01,4.662609266225e-01,4.662610379412e-01,2.387475983942e-07,3.335779882753e-01,3.335778291686e-01
1.7782794100e+02,3.107266182629e-01,4.662604063187e-01,4.662605464524e-01,3.005482188349e-07,3.335772871476e-01,3.335770868553e-01
1.9952623150e+02,3.107266177455e-01,4.662599551866e-01,4.662601316063e-01,3.783718073499e-07,3.335766953201e-01,3.335764431643e-01
2.2387211386e+02,3.107266173342e-01,4.662595658849e-01,4.662597879827e-01,4.763392300398e-07,3.335762050625e-01,3.335758876185e-01
2.5118864315e+02,3.107266170059e-01,4.662592300648e-01,4.662595096576e-01,5.996506775652e-07,3.335758079570e-01,3.335754083351e-01
2.8183829313e+02,3.107266167448e-01,4.662589387621e-01,4.662592907165e-01,7.548470670403e-07,3.335754955846e-01,3.335749925357e-01
3.1622776602e+02,3.107266165378e-01,4.662586826785e-01,4.662591257546e-01,9.502785698011e-07,3.335752602485e-01,3.335746269588e-01
3.5481338923e+02,3.107266163739e-01,4.662584524097e-01,4.662590101690e-01,1.196243613714e-06,3.335750953933e-01,3.335742981858e-01
3.9810717055e+02,3.107266162437e-01,4.662582383969e-01,4.662589405025e-01,1.505827715691e-06,3.335749960981e-01,3.335739925753e-01
4.4668359215e+02,3.107266161361e-01,4.662580308737e-01,4.662589146799e-01,1.895526659966e-06,3.335749594205e-01,3.335736961917e-01
5.0118723363e+02,3.107266160679e-01,4.662578196873e-01,4.662589321909e-01,2.386020958533e-06,3.335749845952e-01,3.335733944873e-01
5.6234132519e+02,3.107266159520e-01,4.662575939805e-01,4.662589943040e-01,3.003316779145e-06,3.335750736222e-01,3.335730721310e-01
6.3095734448e+02,3.107266157712e-01,4.662573419049e-01,4.662591045056e-01,3.780303132214e-06,3.335752315215e-01,3.335727122243e-01
7.0794578438e+02,3.107266158543e-01,4.662570502037e-01,4.662592686388e-01,4.757943168702e-06,3.335754659387e-01,3.335722951136e-01
7.9432823472e+02,3.107266153487e-01,4.662567034303e-01,4.662594954813e-01,5.988191073378e-06,3.335757912492e-01,3.335718005498e-01
8.9125093813e+02,3.107266155781e-01,4.662562834691e-01,4.662597971384e-01,7.535861577907e-06,3.335762219151e-01,3.335711997999e-01
1.0000000000e+03,3.107266157916e-01,4.662557682834e-01,4.662601897690e-01,9.482871836095e-06,3.335767826425e-01,3.335704629766e-01
