case_id,case_name,Omega,cond_P_raw,cond_P_equil,cond_Tcell,eigenvalue_residual,is_finite,physical_result_affected,audit_note
S3_d01,Low Micro-Inertia (d1/a=0.1),0.05,4.07e+15,9.43,5.31e+16,9.32e-10,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d01,Low Micro-Inertia (d1/a=0.1),0.5,3.43e+18,2.83,5.73e+16,2.98e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d01,Low Micro-Inertia (d1/a=0.1),1.0,2.25e+19,2.67,5.76e+16,1.85e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d01,Low Micro-Inertia (d1/a=0.1),1.5,4.76e+19,2.61,1.24e+17,1.14e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d01,Low Micro-Inertia (d1/a=0.1),1.8,6.52e+19,2.59,1.29e+17,1.23e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d10,High Micro-Inertia (d1/a=1.0),0.05,4.07e+15,9.26,1.25e+17,1.83e-08,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d10,High Micro-Inertia (d1/a=1.0),0.5,3.69e+18,2.73,4.66e+16,4.56e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d10,High Micro-Inertia (d1/a=1.0),1.0,2.13e+19,3.25,5.93e+16,4.95e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d10,High Micro-Inertia (d1/a=1.0),1.5,4.40e+19,5.03,3.31e+17,1.88e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_d10,High Micro-Inertia (d1/a=1.0),1.8,6.30e+19,6.07,6.20e+16,1.48e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),0.05,5.22e+15,46.31,1.56e+17,1.55e-06,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),0.5,4.19e+18,3.10,7.32e+16,1.31e-08,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),1.0,3.55e+19,2.97,4.91e+16,5.55e-10,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),1.5,1.37e+20,5.07,1.13e+17,8.46e-10,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c01,Low Micro-Stiffness (sqrt(c1)/a=0.1),1.8,2.24e+20,6.56,1.37e+17,8.15e-10,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c08,High Micro-Stiffness (sqrt(c1)/a=0.8),0.05,4.05e+15,5.98,6.72e+16,3.48e-10,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c08,High Micro-Stiffness (sqrt(c1)/a=0.8),0.5,2.98e+18,2.69,1.39e+17,2.01e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c08,High Micro-Stiffness (sqrt(c1)/a=0.8),1.0,1.72e+19,2.58,4.99e+16,2.28e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c08,High Micro-Stiffness (sqrt(c1)/a=0.8),1.5,4.26e+19,2.56,1.02e+17,4.01e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S3_c08,High Micro-Stiffness (sqrt(c1)/a=0.8),1.8,7.12e+19,2.55,3.83e+17,1.44e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S4_eta02_dpl,Asymmetric Filling Fraction (eta=0.2),0.05,4.07e+15,9.39,6.74e+16,3.24e-09,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S4_eta02_dpl,Asymmetric Filling Fraction (eta=0.2),0.5,3.50e+18,2.81,1.66e+17,9.91e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S4_eta02_dpl,Asymmetric Filling Fraction (eta=0.2),1.0,2.21e+19,2.61,5.58e+16,2.32e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S4_eta02_dpl,Asymmetric Filling Fraction (eta=0.2),1.5,9.36e+19,2.56,2.69e+17,1.65e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S4_eta02_dpl,Asymmetric Filling Fraction (eta=0.2),1.8,6.94e+19,2.55,4.24e+17,3.72e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S5_tauq_1ns,Extended Relaxation Lag (tau_q=1ns),0.05,4.07e+15,9.39,6.29e+16,7.64e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S5_tauq_1ns,Extended Relaxation Lag (tau_q=1ns),0.5,3.47e+18,2.81,1.15e+17,3.18e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S5_tauq_1ns,Extended Relaxation Lag (tau_q=1ns),1.0,3.74e+18,2.61,1.51e+17,7.10e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S5_tauq_1ns,Extended Relaxation Lag (tau_q=1ns),1.5,1.28e+19,2.56,1.27e+17,6.73e-13,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S5_tauq_1ns,Extended Relaxation Lag (tau_q=1ns),1.8,1.58e+18,2.55,7.48e+16,1.60e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S6_alpha20,Strong Thermoelastic Coupling (2x alpha_t),0.05,8.81e+15,9.39,9.49e+16,3.21e-08,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S6_alpha20,Strong Thermoelastic Coupling (2x alpha_t),0.5,7.44e+18,2.76,1.84e+17,3.96e-11,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S6_alpha20,Strong Thermoelastic Coupling (2x alpha_t),1.0,6.49e+19,2.59,9.24e+16,3.49e-10,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S6_alpha20,Strong Thermoelastic Coupling (2x alpha_t),1.5,1.17e+20,2.56,6.41e+16,9.85e-13,True,False,Numerically stable; P_equil O(1-10); residual machine precision
S6_alpha20,Strong Thermoelastic Coupling (2x alpha_t),1.8,5.23e+19,2.56,1.20e+17,2.71e-12,True,False,Numerically stable; P_equil O(1-10); residual machine precision
